Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Date_local,event_date,material_or_label,ticker,stock_return_1d,stock_vol_20d,fwd_cum_return
2022-04-06 04:00:00+00:00,55.96009674,56.14720436,55.16128263,55.64344788,3522967,0,0,2022-04-06 00:00:00-04:00,2022-04-06,니켈,BHP,0.00181385,0.023149489,-0.131480167
2022-04-07 04:00:00+00:00,55.41315015,55.90251651,55.02453876,55.66503143,2964597,0,0,2022-04-07 00:00:00-04:00,2022-04-07,니켈,BHP,0.00038789,0.02292425,-0.123084788
2022-04-08 04:00:00+00:00,56.13280597,56.42786356,55.77298084,55.89532089,2388515,0,0,2022-04-08 00:00:00-04:00,2022-04-08,니켈,BHP,0.004137058,0.020718609,-0.117523025
2022-04-11 04:00:00+00:00,55.21885031,55.35558657,54.2976962,54.62154007,2926707,0,0,2022-04-11 00:00:00-04:00,2022-04-11,니켈,BHP,-0.022788684,0.018318936,-0.125016249
2022-04-12 04:00:00+00:00,55.16847823,56.16879618,55.15408818,55.4347496,3408401,0,0,2022-04-12 00:00:00-04:00,2022-04-12,니켈,BHP,0.014888074,0.01785617,-0.1311916
2022-04-13 04:00:00+00:00,55.44914131,56.29113168,55.44914131,56.22636414,2446695,0,0,2022-04-13 00:00:00-04:00,2022-04-13,니켈,BHP,0.014280114,0.017083958,-0.11362768
2022-04-14 04:00:00+00:00,55.92411428,56.49983333,55.80896924,56.24075699,3032529,0,0,2022-04-14 00:00:00-04:00,2022-04-14,니켈,BHP,0.00025598,0.017061073,-0.160627751
2022-04-18 04:00:00+00:00,56.4062767,56.95320946,56.26954044,56.4062767,3047439,0,0,2022-04-18 00:00:00-04:00,2022-04-18,니켈,BHP,0.002943056,0.017023972,-0.154251155
2022-04-19 04:00:00+00:00,55.65063852,56.07523737,55.4995122,56.0320549,3094296,0,0,2022-04-19 00:00:00-04:00,2022-04-19,니켈,BHP,-0.0066344,0.015168346,-0.191937721
2022-04-20 04:00:00+00:00,54.51359379,55.48512545,53.73637092,55.34119415,4871306,0,0,2022-04-20 00:00:00-04:00,2022-04-20,니켈,BHP,-0.012329741,0.015360488,-0.125104776
2022-04-21 04:00:00+00:00,53.29018107,53.59243369,51.24637222,51.42628479,8406491,0,0,2022-04-21 00:00:00-04:00,2022-04-21,니켈,BHP,-0.070741324,0.021849339,-0.076775851
2022-04-22 04:00:00+00:00,50.7354192,50.9800993,48.83553861,48.92909241,8564440,0,0,2022-04-22 00:00:00-04:00,2022-04-22,니켈,BHP,-0.048558678,0.023816856,-0.059483988
2022-04-25 04:00:00+00:00,46.76294814,47.58335036,45.95693905,47.42502594,10201548,0,0,2022-04-25 00:00:00-04:00,2022-04-25,니켈,BHP,-0.030739717,0.024105026,-0.011050655
